sentence,id,processed_sentences,cluster_label
Lenny can't decide which trousers to buy,2_0,lenny decide trousers buy,28
 Bob advised Lenny on that topic,2_1,bob advised lenny topic,32
Rita and Tina are bored at work and have still 4 hours left,7_0,rita tina bored work hours left,1
 She cares about his health and will buy him a scarf no matter his opinion,8_1,cares health buy scarf matter opinion,0
 She asks Gina to borrow her father's car and go do groceries together,10_1,asks gina borrow father car groceries,18
 He and other students are preparing a play by Mrożek translated into Portuguese,12_1,students preparing play mrożek translated portuguese,0
"Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten",15_0,greg betsy lot work today pick johnny kindergarten,41
" However, it's Greg's turn to do it",15_1,greg turn,0
Igor has a lot of work on his notice period and he feels demotivated,17_0,igor lot work notice period feels demotivated,59
 John thinks he should do what he has to do nevertheless,17_1,john thinks,12
Clara is rewatching Dear White People and strongly recommends it to Neela,18_0,clara rewatching dear white people recommends neela,9
 She also wants to work at Deidre's beauty salon,20_1,work deidre beauty salon,1
 Deidre offers her a few hours on Saturdays as work experience,20_2,deidre offers hours saturdays work experience,1
 Emma sent her a link to a website with some texts from previous years so that she can prepare for the exam better,21_2,emma link website texts previous years prepare exam,49
 Karen will call her friend who is a psychologist and ask for advice,22_1,karen friend psychologist advice,0
"Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid",25_0,kelly scared sculpture garden figures finnland finds figure faces morbid,0
"Jesse, Melvin, Lee and Maxine are going to take part in the Christmas charity action of the foundation called Refuge, which helps women and children who escape from abuse",29_0,jesse melvin lee maxine christmas charity action foundation called refuge helps women children escape abuse,22
Judy thinks she's always attracted to bad guys,37_0,judy thinks attracted bad guys,12
" Ola will try to find a blouse for mum in Cuba, as Kate suggested",42_4,ola blouse mum cuba kate suggested,0
Mike will ask Mary for John's new number,43_0,mike mary john number,0
Josh thinks Stephen accidentally took his notebook,45_0,josh thinks stephen accidentally notebook,12
"Petra is very sleepy at work today, Andy finds the day boring, and Ezgi is working",49_0,petra sleepy work today andy finds day boring ezgi working,67
 Nick suggests Jane to forget about their conversation,50_2,nick suggests jane forget conversation,61
 Lara and Gary will come to Tom's place about 5 pm to prepare everything before Tom gets back home at 5:30,58_1,lara gary tom place prepare tom,66
30 instead of 5 because Google Maps suggests the 300 km drive should take them at least 3 hours and she doesn't want to be late,67_1,google maps suggests drive hours late,27
Suzanne is at work and is having a break now,68_0,suzanne work break,1
 Suzzanne agrees,68_2,suzzanne agrees,69
Mia is going out after work tonight with her female friends,73_0,mia work tonight female friends,0
Jayden explains Brennan why she doesn't want to be pregnant,74_0,jayden explains brennan pregnant,0
 Mark thinks she's jealous,77_2,mark thinks jealous,12
Fiona wants to prepare dinner for Chris,78_0,fiona prepare dinner chris,49
 She is thinking of Tina's tart,78_1,thinking tina tart,6
Jacob hasn't listened to the song Harry sent him 3 days ago,82_0,jacob listened song harry days ago,0
 Jacob will do it later tonight and let Harry know what he thinks,82_1,jacob tonight harry thinks,12
 Josh will call Brian after work to talk about it,85_2,josh brian work talk,1
"Nathalie, Olafur and Zoe are planning the New Year's Eve",86_0,nathalie olafur zoe planning year eve,30
 Kim will ask at restaurants about their source,88_1,kim restaurants source,0
 Kim is planning something special but won't share any details with Margot for now,88_2,kim planning special share details margot,30
 She'll try to follow Antonio's advice to start writing without overthinking,92_3,follow antonio advice start writing overthinking,63
"Eric, Samantha and Noah's professor is commenting a recent scandal on the news",98_0,eric samantha noah professor commenting scandal news,0
Isabella is grateful to Betty for sharing the information about her work yesterday,106_0,isabella grateful betty sharing work yesterday,1
" Isabella offers Betty her company, should Betty want to do something together",106_1,isabella offers betty company betty,0
"Hollie says hello to Amy, but Amy is busy working and can't chat right now",107_0,hollie amy amy busy working chat,2
"Janet, Nicole, Alison, Arlene, Leslie, Ros, Eric and Sue are all complaining about Donald Trump and his absence at the ceremony",109_0,janet nicole alison arlene leslie ros eric sue complaining donald trump absence ceremony,0
Corbin reported to the department in charge of school violence that his friend has been beaten,111_0,corbin reported department charge school violence friend beaten,0
 Fiona tries to help her and suggests a paintball match,113_2,fiona suggests paintball match,27
Sandra and Brenda used to work together in the clothes factory 25 years ago,119_0,sandra brenda work clothes factory years ago,1
 They want to organize a reunion for the Lister's girls,119_5,organize reunion lister girls,0
Donna will pay George a visit tonight to discuss a personal matter,121_0,donna pay george visit tonight discuss personal matter,40
Paul can couch the game on Saturday as Matthew hasn't found anyone to do that yet,128_0,paul couch game saturday matthew,0
Kelvin and the other class members will discuss the time for their CAT 2 and share their decision with Naheeda soon,134_0,kelvin class members discuss time cat share decision naheeda,40
Marty thinks she has sprained her ankle,136_0,marty thinks sprained ankle,12
" Emma will be home after midnight, so Paul will prepare some food for her",139_1,emma midnight paul prepare food,49
Chris and Tom are planning a meeting at Chris' place,141_0,chris tom planning meeting chris place,66
Timmy had a bad day at work,151_0,timmy bad day work,67
 Bart will open the door and work in the morning from home,152_1,bart open door work morning,1
 Maxwell and Jeanice can grab a coffe some time to discuss all the issues,155_3,maxwell jeanice grab coffe time discuss issues,40
 Leah had liked a post mentioning him 2 weeks earlier,157_4,leah post mentioning weeks earlier,0
 He will also take care of her plants until she is back on the 21st,169_1,care plants,0
 She will work from 17:00 till around 21:30,171_1,work till,1
Shelly is voluntering at a food shelter and asks if others do some volunteer work,173_0,shelly voluntering food shelter asks volunteer work,18
Kane recommends the new 30 Seconds to Mars album to Shannon,175_0,kane recommends seconds mars album shannon,9
 Eve has something to do at about 3,180_1,eve,0
 He feels it's not working though and it still hurts him,183_1,feels working hurts,2
Chloe will watch the serious recommended by Biwott at the weekend,185_0,chloe watch recommended biwott weekend,0
 She thinks she wouldn't be able to drive there,188_2,thinks drive,12
Titus agrees to help Emely with a language exercise,190_0,titus agrees emely language exercise,69
"Hannah's New Year's resolutions are: work out, cook for herself, start dating",193_0,hannah year resolutions work cook start dating,63
 But Hillary thinks she does it to death and lacks real life,195_2,hillary thinks death lacks real life,12
Sam won't finish work till 5,200_0,sam finish work till,1
 Sam decided on the features he likes,204_3,sam decided features likes,48
"After work, Mike is going to go to the gym and then home",206_0,work mike gym,0
 She wonders what degree course would be the most beneficial for her,208_1,wonders degree beneficial,0
Nathan and Aaron are discussing a video which Nathan sent,212_0,nathan aaron discussing video nathan,0
Derek closed some deals today,218_0,derek closed deals today,41
 Phil didn't manage to do it,218_1,phil manage,0
People are photoshopping Timothée Chalamet into artworks,219_0,people photoshopping timothée chalamet artworks,56
 Dominic and Nova agree that he looks like a 19th century man,219_1,dominic nova agree century man,24
Peter has been working out at the gym near their office lately to improve his health,220_0,peter working gym office improve health,2
 Lisa is considering working out and eating better to be healthier,220_1,lisa working eating healthier,2
 Jim is Chloe's co-worker so Chloe needs to communicate with him,227_1,jim chloe worker chloe communicate,0
 Jane ate cheesecake and got an allergic reaction,229_1,jane ate cheesecake allergic reaction,61
Connor bought his halloween costumes at Value Village where Jane plans to get her and her sister's costume,232_0,connor bought halloween costumes village jane plans sister costume,61
"George, Robert and Paul are going to play basketball on Friday at 7",242_0,george robert paul play basketball friday,0
 Pam and Lauren will meet tomorrow and discuss Lauren's holiday,246_1,pam lauren meet tomorrow discuss lauren holiday,40
In the agreement it was decided that it's neither a sea nor a lake and it will have a special legal status,254_0,agreement decided sea lake special legal status,48
 Denise thinks the club is great,256_1,denise thinks club great,12
" Judy's friends also recommend the place, so Judy is going there this weekend",256_2,judy friends recommend place judy weekend,0
Debbie can't decide between buying a red dress and a green one,260_0,debbie decide buying red dress green,28
 Andy and Wade recommend him dentists at ProDent,263_1,andy wade recommend dentists prodent,0
"Julie and Debra are discussing the event, there will be about 20 people, mostly girls from the village 40+",267_0,julie debra discussing event people girls village,56
Clara and Ron are wondering what that weird smell at Kasia's place last night was,271_0,clara ron wondering weird smell kasia place night,36
 Logan doesn't want Sean to scare the girls away with his inappropriate comments,274_1,logan sean scare girls inappropriate comments,0
 He sold the office and did some changes but Chris still works there as Director,277_1,sold office chris works director,5
